date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:44	1340/1340	---MCZ	404	error ('Not%20Found')	text/html	etag:1741272865-ssl-df	https://chuc-mung-8-3.netlify.app/robots.txt		(from )
18:04:44	43341/43341	---MCZ	200	added ('OK')	text/html	etag:%221255380c672da59b2ff6bdcbb1528a26-ssl-df%22	https://chuc-mung-8-3.netlify.app/	C:/Users/duong/Desktop/New%20folder/thiep/chuc-mung-8-3.netlify.app/index.html	(from )
18:04:44	53265/53265	---M-Z	200	added ('OK')	text/css	etag:%2264966769-1a29%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.2.3/css/bootstrap-grid.min.css	C:/Users/duong/Desktop/New%20folder/thiep/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.2.3/css/bootstrap-grid.min.css	(from https://chuc-mung-8-3.netlify.app/)
18:04:45	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%22649564fe-13e7%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Users/duong/Desktop/New%20folder/thiep/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://chuc-mung-8-3.netlify.app/)
18:04:45	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%226497b719-545d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	C:/Users/duong/Desktop/New%20folder/thiep/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	(from https://chuc-mung-8-3.netlify.app/)
18:04:45	89947/89947	---M--	200	added ('OK')	text/javascript	date:Wed,%2011%20Jan%202023%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.3/jquery.min.js	C:/Users/duong/Desktop/New%20folder/thiep/ajax.googleapis.com/ajax/libs/jquery/3.6.3/jquery.min.js	(from https://chuc-mung-8-3.netlify.app/)
18:04:46	20632/20632	---MCZ	200	added ('OK')	text/css	etag:%2244ac6b4478b2105b73b530583f89e25b-ssl-df%22	https://chuc-mung-8-3.netlify.app/style1.css	C:/Users/duong/Desktop/New%20folder/thiep/chuc-mung-8-3.netlify.app/style1.css	(from https://chuc-mung-8-3.netlify.app/)
18:04:47	25700/25700	---M--	200	added ('OK')	image/png	etag:%22cc0da706808a47b6e4fa05e3ea216ce9-ssl%22	https://chuc-mung-8-3.netlify.app/heart.png	C:/Users/duong/Desktop/New%20folder/thiep/chuc-mung-8-3.netlify.app/heart.png	(from https://chuc-mung-8-3.netlify.app/)
18:04:47	608731/608731	---M--	200	added ('OK')	image/jpeg	etag:%2222a6d29c0c11bcfe22dce2be7fb9b92f-ssl%22	https://chuc-mung-8-3.netlify.app/images/cr.jpg	C:/Users/duong/Desktop/New%20folder/thiep/chuc-mung-8-3.netlify.app/images/cr.jpg	(from https://chuc-mung-8-3.netlify.app/)
18:04:48	72522/72522	---M--	200	added ('OK')	image/gif	etag:%2266d8035745f6e0c87403b987987ac092-ssl%22	https://chuc-mung-8-3.netlify.app/images/mewmew.gif	C:/Users/duong/Desktop/New%20folder/thiep/chuc-mung-8-3.netlify.app/images/mewmew.gif	(from https://chuc-mung-8-3.netlify.app/)
18:04:48	11233/11233	---M-Z	200	added ('OK')	application/javascript	etag:%22649564ff-133c%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	C:/Users/duong/Desktop/New%20folder/thiep/cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	(from https://chuc-mung-8-3.netlify.app/)
18:04:48	2956536/2956536	---M--	200	added ('OK')	audio/mpeg	etag:%222a6ca842e45d9806f550d65cdf4dac1f-ssl%22	https://chuc-mung-8-3.netlify.app/tiramisu.mp3	C:/Users/duong/Desktop/New%20folder/thiep/chuc-mung-8-3.netlify.app/tiramisu.mp3	(from https://chuc-mung-8-3.netlify.app/)
